NOME,USE,DISCOVERY,OBSERVATIONS
Alexa,Primitive humans used this as a weight to lift and strenghten their arms for hunting with spears.,"Found in the wreckage of a modern human home.  This is definitive proof that throughout time, humans  have always valued the ability of hunting with spears.",Comes with an appendage. Likely used to hang around human wrists and prevent the weight from falling and causing accidents.
Pliers,A bladed weapon devised for battling  smaller insects. ,"Discovered in a case full of other nefarious objects, likely a torture kit to pry insects for information.","Insects, as we know, are much smarter than humans, and thus were easily able to outmanuever these rudimentary weapons."
Arcade Stick,A controller used for handling spacecraft. ,"Found under a large venue with chairs and monitors, likely a space station. A ghastly stench of human sweat permeated the air around the location.",Humans went to greath lengths in order to launch hunks of metal into space for reasons unclear. Experts speculate they did so to show off their status and wealth.
Pacifier,Human adults used this item to enhance sexual pleasure by introducing it in their orifices.,"Found on a human infant's mouth. Truly, there was no limit to human degeneracy.","The existence of this item confirms that humans were openly degenerates, much moreso than our species, which value integrity and public opinion."
Paper Clip,"A discrete assassination weapon that could be attached to clothing and hidden from sight, then twisted into a tiny spear.",Discovered in the wreckage of a human office. This illustrates how cut-throat human jobs really were.,"Handle with care, as this item breaks very easily. Humans were not great at making quality products."
Clay Filter,"A futuristic, cylindric house model.",Discovered alongside other cylindrical glass objects. These were likely placeholder house models. ,"This model's architect was so ahead of their time, that humans shunned them and stuck to building inferiorly-shaped rectangular houses until the end of their times."
Queue-Tip,"A culinary tool, used for gathering small food portions and carrying them into the humans' mouths.","Found in a pack alongside many other identical tools. This is likely due to them becoming obsolete very easily, as a result of a phenomenon called ""Planned Obsolescence"".","Humans were hopelessly outmatched by other species which lived alongside them,  like the ones they called ""Anteaters"". This was how they tried, and failed, to compensate."
Fake Flakes,"This is food devised to please the palate of fishes.  In order to maintain peaceful relations with their  superior species, humans would appease their bellies.","Found inside a cupboard. In case fishes would threaten human life, this was an important emergency item used to de-escalate conflict.","Fishes are known to control the oceans, and could easily wipe out humans by summoning a group attack known as ""Tsunami"" if they so pleased. Humans feared a fishy apocalypse, but ultimately ended themselves first."
Recorder,Recreational device used by humans to surpass the limitations of their bodies and smoke the largest amount of rolled herbs simultaneously possible.,"Unearthed inside a building named ""School"", likely a place where humans congregated in order to do drugs.","Out of the many human degeneracies, getting inebriated with herbs was one of the most foul routinely practiced by the species. In a shocking discovery, researchers found that even the newborn were obligated to participate in such rituals."
Telescope,"This was an instrument used for playing a bloody sport humans called ""Baseball"".","Found inside a large, globe-shaped hut. This was the place in which ""Baseball"" games took place.","In ""Baseball"", humans attempted to knock each other out using this instrument. The last player standing would yell ""Home Run!"" and be deemed victorious, attaining endless glory and wealth."
Potato Chip,"A piece of salty and wavy memorabilia. Likely used as decoration, to remind humans of the ocean.","Found inside a long can, likely a gift receptacle previously filled with packing peanuts.","Breaks off very easily. Its fragility is likely intentional, as a representation of humans' short and pathetic lifespans."
Remote,One of the humans' most technologically advanced items. This was used to open interdimensional portals and travel through space and time.,"Found buried deep beneath a couch. Goes to show that no matter how important an item was, it would somehow always carelessly slip away from their gross, greasy little hands.","This was modern humans' main mode of transportation. The engravings on its interface have been translated by our team, and represent primitive coordinates."
Mike Johnson's Killer,A brutal disc-like throwing weapon used for decapitating other humans.,Found in an armory which had numerous other such death discs in display. Humans loved to mass-produce and distribute deadly weapons.,"If there was one thing humans loved more than destroying their planet, it was killing each other. If there was no reason to, they'd gladly invent one."
Spatula,This was a disciplinary tool for reprimanding naughty human infants.,"Found inside a rectangular container, alongside other disciplinary tools of similar use. The naughtier the infant acted, the deadlier the tool used.","A spanking from this object would likely lacerate the infants' fragile skins, scarring them permanently. Humans were truly the worst. "
Super Killerman 2000 Deluxe 3,"A romance movie, able to be reproduced on a movie-playing console.","Unearthed amidst the rubble of a teenage human's room. Teenagers loved movies, and often pretended to control their outcome using plastic interfaces.","Movies were moving pictures which represented a narrative, in which humans overcame adversity and inevitably triumphed in the end. This, of course, was pure fantasy and never actually happened in human history as we know it."
Best Poster,"An ad for a play, which featured a colorful cast of  characters, including different species which co-existed with humans, like ogres, donkeys and dragons.","This poster was found amidst other ads for plays by a human named ""Britney Speare"", presumably an expert in human-on-ogre romance fantasy.","It is unclear how humans managed to cast these different species in the play, considering they were much more powerful and ruled over their puny race. It was likely an act of mercy."
Shoe,A recipient for collecting human feces.,"Fished from the sea. This is where humans were known to dump their droppings in, which explained their terrible race-relations with fish.","This feces-shaped pouch was also used in house parties to prank other  humans who would accidentally step on them, and dirty their feet."
Blender,A hard hat to protect humans against hazardous objects which might fall from above onto their heads.,"Found in the rubble of a destroyed house, next to a human fossil. It seems this hat was not strong enough to defend the human's head from their collapsing house.","Humans tried hard to protect themselves from physical damage, but failed to recognize that microscopical creatures were far more dangerous to their fragile immune systems. Truly an astounding species."
Banana Peel,A soft hat to protect humans from the rain.,"Found in a trash can. Apparently, this model did not work properly and was tossed, though it is suspected that it was merely due to the incompetency of its human user.","An early humanologist theorized that these were home defense traps designed to make other humans slip and fall, potentially cracking their skulls, but this theory was quickly disproven."
Bike Seat,An object humans would chew in order to strenghten their jaw and teeth.,Found attached to a strange object with wheels. No one in the whole world has any idea what that object could possibly be.,"This particular one has many bite marks, with the imprints of teeth much larger than humans usually had. This illustrates how effective this jaw-training object was at its job."
Speaker,A tray table recipient with two bowls for human meals.,"Discovered in an armory full of guitars. This, alongside the resilience of the object, strenghtens the theory that this was mainly used during battles to serve food for soldiers.","The left bowl was typically reserved for a nutritious meal, and the right bowl was reserved for what humans called ""Dessert"", which actively helped in the decay of their teeth and heart. It was truly a foolish ritual."
